city,lat,lon
Pozuelo de alarcón,40.4346528,-3.814834
Paterna,39.5039227,-0.4421014
Santa eulalia del río ,38.9869735,1.500017
Almazora,39.9435743,-0.0634783
Úbeda ,38.0126888,-3.3719849
Castro urdiales,43.3843347,-3.2162576
Fontanar,40.7260993,-3.1755311
Sant cugat del valles,41.4728432,2.0817809
Riogordo ,36.9152823,-4.2934765
Fuenlabrada ,40.282476,-3.7923422
Vitoria-gasteiz,42.8465088,-2.6724025
Sant fruitós de bages,41.7532735,1.8749418
Manresa,41.7288939,1.8286765
Ames,50.536715,2.4086536
Silla,39.3632045,-0.4112618
Alaró ,39.7061528,2.7907216
Urretxu,43.0920435,-2.3170309
Godella,39.5184276,-0.4103168
Cornella de llobregat ,41.355724,2.0706225
Bilbao ,43.2630018,-2.9350039
Pinoso,38.4021056,-1.041617
Torrejón de ardoz,40.4587767,-3.4793343
-ampuero,43.3440563,-3.4151482
Cangas de onis,43.31452925,-5.0656317434407505
Ciudad real,38.959734749999996,-3.8828744402485436
Alpendorada,41.0853427,-8.256597342574569
Cervelló,41.3964186,1.9585925
Astrabudua,43.3146232,-2.9867981
Fustiñana,42.0212249,-1.4857389
Rueda,41.4129785,-4.9597533
Sant feliu de llobregat,41.3812851,2.0446381
Lleida,41.6147605,0.6267842
Figueres,42.2666314,2.9638434
La coruña,43.3709703,-8.3959425
S.sebastian de los reyes,40.5473698,-3.6260586
Almonte,37.2611686,-6.5175751
Cuenca,40.0681156,-2.1348241
Roquetas de mar,36.7630203,-2.6115886
Collado villalba,40.6431496,-3.9930128
Ubrique,36.6769347,-5.4457808
Huesca,42.13606145,-0.029802662719165485
San carlos de la rapita,40.6176588,0.5899322
Logroño,42.4661196,-2.4396676
Martorell,41.4769177,1.9283971
El viso del alcor,37.3891783,-5.7224779
Daimiel,39.072196,-3.6143611
Portugalete,43.3191292,-3.0199529
Vitoria,42.8465088,-2.6724025
Alfafar,39.4200749,-0.3891355
Guadalajara,20.6720375,-103.338396
Súria,34.6401861,39.0494106
Linares,38.0928249,-3.6343581
Leganes,40.3281942,-3.76527
Torrelles de foix,41.387394,1.5724123
Oleiros,43.3330642,-8.3170764
Teià,41.4970697,2.3214331
Quart de poblet,39.4827253,-0.4438854
Calañas ,37.6545062,-6.8786335
Santa bárbara,-19.959444,-43.415278
Sax,38.5350323,-0.818913
El berrón siero ,43.3848504,-5.7011652
Pravia,43.48209035,-6.1491534714272085
Villalba del alcor,37.3967946,-6.475054
Reinosa,43.0010076,-4.1378363
La cisterniga,41.6121464,-4.6851558
Tudela de duero,41.5837494,-4.5796496
Hospitalet llobregat,41.3598601,2.0997927
Almacelles ,41.7294116,0.4524518456149328
León,42.63414505,-5.971415104539984
Sort,43.6832959,-0.9321118
Zalla,43.2138339,-3.1310611
Rubi,41.4936194,2.0319476
Salamanca,40.9651572,-5.6640182
Dos hermanas,37.283689,-5.9226718
Barro san antoniño,42.5250578,-8.6384522
Padierniga voto,43.3501649,-3.4660718
Leioa,43.3271048,-2.9846079
Oviedo,43.3604218,-5.8450534
Algemesi,39.190758,-0.4357471
Los villares ,37.6877128,-3.818205
Aguadulce,37.2530195,-4.9906167
Playa de aro,41.8184693,3.0687997
Massanassa,39.4108561,-0.4000846
La zarza,38.8176983,-6.2175747
Azuqueca de henares,40.5683808,-3.2627134
Sant quirze del vallès ,41.530143,2.0820052
Muskiz,43.3230375,-3.1243029
Vitoria ,42.8465088,-2.6724025
Villodas,42.83430495,-2.7890087839191016
Lopera,37.9455526,-4.2142298
Saldaña,42.5227119,-4.7364391
Llorenç del penedes,41.2860413,1.5463105995366389
Benalmádena,36.594519,-4.572284
Palencia ,42.409632200000004,-4.616100410293067
Torrox costa,36.7307283,-3.9650488
Benidorm,38.5406255,-0.1290929
Móstoles,40.3238525,-3.8649214
Usurbil,43.2703088,-2.0502559
Cartagena,37.6019353,-0.9841152
Olesa de montserrat,41.543053,1.8931874
Rocafort,39.5300573,-0.4109383
Massanes,44.0231,4.11289
Écija,37.5406007,-5.079589
Benidorm ,38.5406255,-0.1290929
La pobla de farnals,39.577785,-0.3264302
Adra,36.748834,-3.0203617
Rivas-vaciamadrid,40.3536054,-3.5310879
Ledesma,41.0903872,-5.9987649
Pontevedra,42.6075172,-8.4714942
Najera,42.416745,-2.7336874
Cambrils ,41.0679423,1.0657579
Don benito,38.9540269,-5.8619466
San pol de mar,41.6030132,2.6238092
Lisboa,38.7077507,-9.1365919
Alcorcon,40.3492998,-3.8284295
Canet de mar,41.5900933,2.5777998
Santander ,43.4620412,-3.8099719
Cambrils,41.0679423,1.0657579
La bisbal del penedés,41.2778415,1.4905591
Gijón,43.5449422,-5.66275
San josé de la rinconada,37.4865155,-5.9416528
Montgat,41.4666983,2.2789654
Esparreguera,41.5393249,1.8694549
Azkoitia,43.1781602,-2.3114989
Aranda de duero,41.6715067,-3.6851172
Inca,39.7211448,2.9111493
Cogollos,42.2015894,-3.6985858
Orihuela costa,37.9237214,-0.7453376
Fuengirola,36.5387779,-4.6233348
Las rozas,43.3744967,-5.1513846
Alcarràs,41.5632578,0.5240396
Losar de la vera,40.121961,-5.6069115
El campello,38.427416,-0.3983685
Villalba-lugo,43.6853833,-7.5128939
Donostia-san sebastián,43.3224219,-1.9838889
Toledo ,39.8560679,-4.0239568
Canovelles,41.6173948,2.28288
Torreblanca,40.2202661,0.1953363
Ventas de zafarraya,36.9572848,-4.1205346
Torrent,39.436668,-0.4656213
Valladolid ,41.6521328,-4.728562
Cubellas,41.2083363,1.6730541
Onda,39.9621514,-0.2593846
León ,42.63414505,-5.971415104539984
Jaraiz de la vera,40.0598888,-5.7551824
Prat de llobregat,41.333306,2.099056
Colindres,43.3949637,-3.449786
Arnedo,42.2273401,-2.0995697
Bermeo,43.4194242,-2.7231562
Getafe ,40.3081807,-3.7302679
Aranjuez,40.03221,-3.6039604
Málaga ,36.7213028,-4.4216366
La puerta de segura,38.349681,-2.736619
La puebla de hijar,41.2132393,-0.4456249
Sant joan pueblo,39.9976198,-0.0440458
Haro,42.5768922,-2.8466768
Burriana,39.8873342,-0.0838341
Martos,37.7222633,-3.9703241
Gandia,38.9675925,-0.1803423
Cáceres,39.4745175,-6.3716761
Xerta,40.9080065,0.4911048
Laredo,27.5236998,-99.497352
El prat de llobregat,41.3246333,2.0952568
Colmenar viejo,40.6587901,-3.7663207
Elche ,38.2653307,-0.6988391
Alginet,39.2651129,-0.4716912
El jimenado. torre pacheco,37.7593465,-1.0248318583268778
Palma,39.5695818,2.6500745
Galdacano,43.2332639,-2.8453385
Cacabelos,42.599016,-6.7255949
Novelda ,38.3842144,-0.7674146
Baeza,37.9945171,-3.4708163
Asteasu,43.1928306,-2.0953614
